operator,count,mean,median,p90
AUT,35,15.733749428571429,7.2639,33.10028000000001
BA-SB,18,12.456277944444444,7.298935,28.422480000000014
LIV,2,7.316155,7.316155,8.639895
VBSH,182,8.685565582417583,7.331065000000001,10.23128
TSD-asdt,73,11.913115890410959,7.36983,27.19597999999999
VB-bm,3,9.46446,7.40929,15.348338000000002
TPF Auto,1325,19.010263766490567,7.45774,46.515200000000014
SPBR,10,8.482707000000001,7.460675,15.68883
TRN/Autovr,92,12.400221521739132,7.478175,18.725560000000012
MBC,25,16.05128688,7.49977,34.615620000000014
TPC,141,13.342460063829787,7.55181,23.0661
LGJ,2,7.571415,7.571415,10.722043000000001
GGB,6,12.100986666666666,7.6121,26.7924
WAB-sksl,1,7.63159,7.63159,7.63159
